name,quantity,price US$,total (US$),link,notes
power switch,1,1.511627907,1.51,https://robu.in/product/pcm12smtr-ck-standing-paste-single-pole-double-throw-spdt-6v-smd-slide-switches-rohs/,
reset button,1,1.736046512,1.74,https://in.element14.com/c-k-components/pts636-sl43-smtr-lfs/tactile-switch-0-05a-12vdc-130gf/dp/3780603,10 minimum order
ec12 rotary encoder,2,0.6976744186,1.40,https://rees52.com/products/rotary-encoder-ec12-audio-digital-potentiometer-5mm-handle-rs1258?variant=43607268524199&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,
m2 small screws,1,1.558139535,1.56,https://robu.in/product/easymech-ss-304-csk-countersunk-philips-head-m2-x-6-mm-bolt-25-pcs/,Pack of 25
m2 small heatset inserts,4,0.02197674419,0.09,https://onlyscrews.in/products/m2-x-3mm-brass-threaded-inserts,
supermini nrf52840,1,7.662790698,7.66,https://probots.co.in/pro-micro-nrf52840-development-board-compatible-with-nice-nano-v2-0.html,
Kailh Choc Hotswap Sockets,4,1.686046512,6.74,https://neomacro.in/products/kailh-choc-pg1350-hot-swap-sockets?variant=48049369907478&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,Packs of 10
Battery,1,1.337209302,1.34,https://www.electropi.in/3.7v-90mah-lipo-battery-model-351028-india,
SMD Diodes,40,0.09302325581,3.72,https://robu.in/product/1n4148wtq-7-diodes-incorporated-80v-independent-1-25v150ma-4ns-125ma-sod-523-switching-diodes-rohs/,
Switches,4,5.581395349,22.33,https://neomacro.in/products/kailh-choc-v1-switches?variant=49466990133526,Packs of 10
Keycaps 1,4,4.069767442,16.28,https://neomacro.in/products/chocfox-cfx-choc-blank-keycaps?variant=49467027751190,Packs of 10
Keycaps 1.5,1,1.279069767,1.28,https://neomacro.in/products/chocfox-cfx-choc-blank-keycaps?variant=48049351655702,Packs of 2
PCB Fab,1,24.39534884,24.40,https://www.lioncircuits.com,5 minimum order
Total,,,90.03,,
