name,quantity,price US$,total (US$),link,notes
power switch,1,1.511627907,1.51,https://robu.in/product/pcm12smtr-ck-standing-paste-single-pole-double-throw-spdt-6v-smd-slide-switches-rohs/,
reset button,1,1.736046512,1.74,https://in.element14.com/c-k-components/pts636-sl43-smtr-lfs/tactile-switch-0-05a-12vdc-130gf/dp/3780603,10 minimum order
ec12 rotary encoder,2,0.6976744186,1.40,https://rees52.com/products/rotary-encoder-ec12-audio-digital-potentiometer-5mm-handle-rs1258?variant=43607268524199&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,
m2 small screws,4,0.02744186047,0.11,https://onlyscrews.in/products/m2-x-6mm-phillips-pan-head-ss-304-screw?_pos=2&_sid=e9e4a7851&_ss=r,Pack of 25
m2 small heatset inserts,4,0.02197674419,0.09,https://onlyscrews.in/products/m2-x-3mm-brass-threaded-inserts,
supermini nrf52840,1,7.662790698,7.66,https://probots.co.in/pro-micro-nrf52840-development-board-compatible-with-nice-nano-v2-0.html,
Kailh Choc Hotswap Sockets,4,1.686046512,6.74,https://neomacro.in/products/kailh-choc-pg1350-hot-swap-sockets?variant=48049369907478&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,Packs of 10
Battery,1,1.337209302,1.34,https://www.electropi.in/3.7v-90mah-lipo-battery-model-351028-india,
SMD Diodes,40,0.06488372093,2.60,https://evelta.com/1n4148w-7-f-switching-diode/,
Switches,4,8.139534884,32.56,https://typeractive.xyz/products/choc-switches?variant=46024772387047,Packs of 10
Keycaps 1,4,4.651162791,18.60,https://typeractive.xyz/products/mbk-keycaps?variant=48512019497191,Packs of 10
Keycaps 1.5,1,2.325581395,2.33,https://typeractive.xyz/products/mbk-keycaps?variant=48512020283623,Packs of 2
Keycaps 1 homing,1,1.162790698,1.16,https://typeractive.xyz/products/mbk-keycaps?variant=48512019759335,Packs of 2
128x32 OLED,2,1.476744186,2.953488372,https://www.electropi.in/0.91-inch-i2c-iic-128x32-oled-display-module?gPromoCode=EPJul2ndSale,
PCB Fab,1,24.39534884,24.40,https://www.lioncircuits.com,5 minimum order
Total,,,105.18,,
